PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
A10	1	0	42	B	PIOT0			-									0	0	0	1	0	0			
A11	1	0	53	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@53,1	F6@19,8	V06S0103@53,0
A12	1	0	53	B	PIOT0			-									0	0	0	1	0	0			
A13	1	0	65	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@65,1	V02S0501@65,1	V02S0101@65,1
A14	1	0	65	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@66,1	V06S0203@36,1	V02S0101@65,1
A15	1	0	67	B	PIOT0			-									0	0	0	0	0	0			
A2	0	0	4	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@4,1	F6@17,15	V02S0601@4,1
A3	0	0	6	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@6,1	V06S0003@6,0	V02S0301@6,1
A4	0	0	6	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@7,1	F1@22,12	V02S0401@7,1
A5	0	0	18	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@18,1	JF0@1,22	Q4_SLICE@27,4
A6	0	0	18	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0200@19,1	F6@19,3	
